NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Alternative High,The Calgary School Division,Public School,Alternative High School,5003 - 20 Street S.W.,Calgary,AB,Senior High,N,Provincial Data,9863,N,N,N,Y,2/28/2021,T2T5A5,1382202,-114.10996,51.00965946,"(51.00965945971756, -114.10995997464397)"
Elbow Park,The Calgary School Division,Public School,Elbow Park School,721 - 38 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9119,N,Y,N,N,2/28/2021,T2T2H8,1382920,-114.082197,51.01957747,"(51.01957747339584, -114.0821970414466)"
Dalhousie,The Calgary School Division,Public School,Dalhousie School,4440 Dallyn Street NW,Calgary,AB,Elementary,N,Provincial Data,9240,N,Y,N,N,2/28/2021,T3A1K3,1384096,-114.1513785,51.10652693,"(51.10652693420392, -114.1513784650062)"
Janet Johnstone,The Calgary School Division,Public School,Janet Johnstone School,224 Shawnessy Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9270,N,Y,N,N,2/28/2021,T2Y1M1,1382576,-114.080086,50.90936931,"(50.90936931399449, -114.08008600922928)"
Captain Nichola Goddard,The Calgary School Division,Public School,Captain Nichola Goddard School,405 Panatella Blvd NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1676,N,Y,Y,N,2/28/2021,T3K0P3,1546748,-114.0886788,51.16245093,"(51.162450928603484, -114.08867875638369)"
Terry Fox,The Calgary School Division,Public School,Terry Fox School,139 Falshire Drive N.E.,Calgary,AB,Junior High,N,Provincial Data,9689,N,N,Y,N,2/28/2021,T3J1P7,1383228,-113.945104,51.10465691,"(51.10465691103333, -113.94510398940886)"
St. Damien,The Calgary Roman Catholic Separate School Division,Separate School,St. Damien School,3619 - 28 Street S.E.,Calgary,AB,Elementary,N,Provincial Data,8550,N,Y,N,N,2/28/2021,T2B2J1,1382602,-113.9922281,51.02192022,"(51.02192021628255, -113.99222806283835)"
Saddle Ridge,The Calgary School Division,Public School,Saddle Ridge School,368 Saddlecrest Blvd N.E.,Calgary,AB,Elementary,N,Provincial Data,1520,N,Y,N,N,2/28/2021,T3J5L6,1369491,-113.9368796,51.13688258,"(51.136882575151375, -113.93687964231422)"
Project Trust,The Calgary School Division,Public School,Project Trust,"#206, 315 10 avenue  S.E.",Calgary,AB,Senior High,N,Provincial Data,9599,N,N,N,Y,2/28/2021,T2M4P6,1141724,-114.0828403,51.07207022,"(51.07207021510708, -114.08284033402592)"
Colonel J. Fred Scott,The Calgary School Division,Public School,Colonel J. Fred Scott School,171 Whitehorn Road N.E.,Calgary,AB,Elementary,N,Provincial Data,9348,N,Y,N,N,2/28/2021,T1Y3C4,1382350,-113.9681644,51.0877669,"(51.08776690368872, -113.96816444284232)"
